"id","cod_estacion","circuito","nombre_punto","fecha","hora","ta_aire","ta_agua","ph","conductividad","od_percent","od_ppm","nivel_regleta","caudal","operario","incidencias","observaciones","fotografia","time_stamp"
"870","92112000","R2","ARGA-PAMPLONA LANDABEN","2023-02-07","08:20:00",-2,"5.1","8.03","311","98.5","12.4",,,"ADRIAN",,,,"2023-02-07 08:20:00"
"879","92108000","R2","ARGA-FUNES","2023-02-07","09:15:00",1,"6.6","8.36","715","96.1","11.46","1.34","31.79","EUSEBIO",,,,"2023-02-07 09:15:00"
"878","92110000","R2","ARGA-FALCES","2023-02-07","09:45:00",1,"6.4","8.37","626","100","11.96",,,"EUSEBIO",,,,"2023-02-07 09:45:00"
"873","92109000","R2","ARGA-URTASUN","2023-02-07","10:00:00",1,"4.9","7.82","160","95.6","11.58",,,"ADRIAN",,,,"2023-02-07 10:00:00"
"877","92107000","R2","ARGA-VERGALIJO","2023-02-07","10:10:00",1,"6.4","8.35","594","100.1","11.97",,,"EUSEBIO",,,,"2023-02-07 10:10:00"
"876","92903000","R2","SALADO-MENDIGORRIA","2023-02-07","10:55:00",2,"6.2","8.25","2188","98.8","11.83",,,"EUSEBIO",,,,"2023-02-07 10:55:00"
"872","92103000","R2","ARGA-HUARTE PAMPLONA","2023-02-07","11:00:00",2,"6.3","8.43","305","97.5","11.64",,,"ADRIAN",,,,"2023-02-07 11:00:00"
"871","92104000","R2","ARGA-PAMPLONA 4VIENTOS","2023-02-07","11:25:00",4,"6.6","8.27","300","100.4","10.89",,,"ADRIAN",,,,"2023-02-07 11:25:00"
"875","92501000","R2","ROBO-PUENTE LA REINA","2023-02-07","11:25:00",3,"6.4","8.32","896","101.6","12.08",,,"EUSEBIO",,,,"2023-02-07 11:25:00"
"874","92301000","R2","ELORZ-PAMPLONA ECHAVACOIZ","2023-02-07","12:30:00",5,"6.2","8.37","1292","103.1","12.24","0.39","0.64","EUSEBIO",,,,"2023-02-07 12:30:00"
"869","92105000","R2","ARGA-ORORBIA","2023-02-07","12:30:00",6,"7.7","8.33","406","102.7","11.89",,,"ADRIAN",,,,"2023-02-07 12:30:00"
"868","92113000","R2","ARGA-ECHAURI","2023-02-07","12:55:00",6,"7.8","8.02","500","99.4","11.44",,,"ADRIAN",,,,"2023-02-07 12:55:00"
"867","92111000","R2","ARGA-BELASCOAIN","2023-02-07","13:10:00",6,"8.2","8.04","474","94.6","10.81",,,"ADRIAN",,,,"2023-02-07 13:10:00"
"887","13201000","R6","LEITZARAN-LEITZA","2023-02-09","09:48:57",-1,"6.4","8.25","194.9","100.9","11.83",,,"ADRIAN",,,,"2023-02-09 09:48:57"
"886","12101000","R6","URUMEA-GOIZUETA","2023-02-09","11:44:54",5,"6.1","7.58","62.2","101.7","12.32",,,"ADRIAN",,,,"2023-02-09 11:44:54"
"885","11104000","R6","BIDASOA-ENDARLAZA","2023-02-09","12:49:57",12,"9.4","8.2","155.7","100.5","11.66",,,"ADRIAN",,,,"2023-02-09 12:49:57"
"884","11105000","R6","BIDASOA-BERA","2023-02-09","13:07:58",12,"9.2","8.21","171","102.6","11.94",,,"ADRIAN",,,,"2023-02-09 13:07:58"
"883","11903000","R6","ONIN-LESAKA 3 (Desembocadura)","2023-02-09","13:16:47",14,"10.3","8.12","166.5","100.4","11.35",,,"ADRIAN",,,,"2023-02-09 13:16:47"
"882","11103000","R6","BIDASOA-SUMBILLA","2023-02-09","13:31:12",14,"8.1","8.36","189.1","105.1","12.18",,,"ADRIAN",,,,"2023-02-09 13:31:12"
"881","11902000","R6","EZKURRA-SANTESTEBAN","2023-02-09","13:41:15",13,"8.3","8.45","137","105.2","12.38",,,"ADRIAN",,,,"2023-02-09 13:41:15"
"880","11102000","R6","BIDASOA-ORONOZ MUGAIRE","2023-02-09","13:54:06",16,"8.6","8.51","168.1","105.2","12.24",,,"ADRIAN",,,,"2023-02-09 13:54:06"
"898","93406000","R7","CIDACOS-BARASOAIN","2023-02-13","09:11:28",-3,"7.8","8.13","606","98","11.16",,,"ESTELA",,,,"2023-02-13 09:11:28"
"897","93401000","R7","CIDACOS-PUEYO","2023-02-13","09:25:02",3,"5.1","8.31","594","95.8","11.74",,,"ESTELA",,,,"2023-02-13 09:25:02"
"896","93405000","R7","CIDACOS-TAFALLA","2023-02-13","09:37:28",1,"5.2","8.42","297","104.2","12.65",,,"ESTELA",,,,"2023-02-13 09:37:28"
"895","93403000","R7","CIDACOS-OLITE","2023-02-13","10:36:18",9,"7.4","8.28","669","102.4","11.96",,,"ESTELA",,,,"2023-02-13 10:36:18"
"894","93404000","R7","CIDACOS-BEIRE","2023-02-13","10:57:57",12,"8.6","8.32","825","98.3","11.14",,,"ESTELA",,,,"2023-02-13 10:57:57"
"893","93402000","R7","CIDACOS-TRAIBUENAS","2023-02-13","11:15:05",10,"6.1","8.39","986","98","11.16",,,"ESTELA",,,,"2023-02-13 11:15:05"
"892","93105000","R7","ARAGON-CAPARROSO","2023-02-13","11:28:08",9,"7.2","8.43","463","100.2","11.82",,,"ESTELA",,,,"2023-02-13 11:28:08"
"891","93106000","R7","ARAGON-MILAGRO","2023-02-13","12:04:25",9,"7.2","8.34","648","104","12",,,"ESTELA",,,,"2023-02-13 12:04:25"
"890","93104000","R7","ARAGON-CARCASTILLO","2023-02-13","12:50:35",12,"8.2","8.58","432","104.3","11.92",,,"ESTELA",,,,"2023-02-13 12:50:35"
"889","93103000","R7","ARAGON-CASEDA","2023-02-13","13:22:51",12,"9","8.42","454","98.7","11.07",,,"ESTELA",,,,"2023-02-13 13:22:51"
"888","93101000","R7","ARAGON-YESA","2023-02-13","13:49:53",13,"9.1","8.53","308","108","12.1",,,"ESTELA",,,,"2023-02-13 13:49:53"
"909","94105000","R5","EBRO-CASTEJON","2023-02-16","09:40:00",1,"6.5","7.91","742","97.6","11.8",,,"ADRIAN",,,,"2023-02-16 09:40:00"
"908","98102000","R5","ALHAMA-ALFARO","2023-02-16","09:57:46",1,"6.1","7.95","2105","90.8","11.03",,,"ADRIAN",,,,"2023-02-16 09:57:46"
"907","98101000","R5","ALHAMA-FITERO","2023-02-16","10:39:19",5,"9.8","8.3","1864","100.5","10.98",,,"ADRIAN",,,,"2023-02-16 10:39:19"
"906","99101000","R5","QUEILES-TUDELA","2023-02-16","11:04:41",5,"8.4","8.39","1110","98.04","11.13","0.19","0.48","ADRIAN",,,,"2023-02-16 11:04:41"
"905","94106000","R5","EBRO-TUDELA","2023-02-16","11:18:08",8,"8.1","8.37","818","104.2","12.09",,,"ADRIAN",,,,"2023-02-16 11:18:08"
"904","94107000","R5","EBRO-BUNUEL","2023-02-16","11:45:55",8,"8.9","8.37","825","105.1","11.98",,,"ADRIAN",,,,"2023-02-16 11:45:55"
"903","94110000","R5","EBRO-MILAGRO","2023-02-16","12:31:09",11,"9.2","8.54","730","114","12.61",,,"ADRIAN",,,,"2023-02-16 12:31:09"
"902","94109000","R5","EBRO-SAN ADRIAN","2023-02-16","12:59:59",11,"9.3","8.49","695","104","11.67",,,"ADRIAN",,,,"2023-02-16 12:59:59"
"901","94102000","R5","EBRO-ALCANADRE","2023-02-16","13:24:06",15,"10.7","7.71","699","100.5","10.92",,,"ADRIAN",,,,"2023-02-16 13:24:06"
"900","95101000","R5","MAYOR-MENDAVIA","2023-02-16","13:35:25",15,"7.9","8.47","2522","108.4","12.4",,,"ADRIAN",,,,"2023-02-16 13:35:25"
"899","94108000","R5","EBRO-VIANA","2023-02-16","13:52:32",15,"9.6","8.39","540","103.7","11.43",,,"ADRIAN",,,,"2023-02-16 13:52:32"
"921","92405000","R1","ARAKIL-ASIAIN","2023-02-20","09:05:00",3,"8.2","8.26","347","96.2","11.01","0.62","15.8","EUSEBIO",,,,"2023-02-20 09:05:00"
"919","92403000","R1","LARRAUN-IRURTZUN","2023-02-20","09:40:00",5,"9.9","8.17","292","100.6","10.88","0.34","4.24","ESTELA",,,,"2023-02-20 09:40:00"
"920","92411000","R1","ARAKIL-ERROTZ","2023-02-20","09:45:02",3,"7.3","8.27","310","98.9","11.54",,,"EUSEBIO",,,,"2023-02-20 09:45:02"
"918","92414000","R1","LARRAUN-URRITZA","2023-02-20","10:00:28",7,"9.3","8.33","240","102.1","11.12",,,"ESTELA",,,,"2023-02-20 10:00:28"
"917","92408000","R1","ARAKIL-ECHARREN","2023-02-20","10:05:00",5,"7.8","8.57","282","101.7","11.69","0.41","3.57","EUSEBIO",,,,"2023-02-20 10:05:00"
"916","92410000","R1","ARAKIL-UHARTE ARAKIL","2023-02-20","10:55:00",12,"9.4","8.42","275","109.7","12.08",,,"EUSEBIO",,,,"2023-02-20 10:55:00"
"912","92203000","R1","ULTZAMA-LIZASO","2023-02-20","11:05:00",7,"6.4","7.84","66.9","104.2","11.87",,,"ESTELA",,,,"2023-02-20 11:05:00"
"915","92407000","R1","ARAKIL-ETXARRI ARANAZ","2023-02-20","11:30:43",13,"9.8","8.6","257","104.8","11.39",,,"EUSEBIO",,,,"2023-02-20 11:30:43"
"914","92409000","R1","ARAKIL-ALSASUA","2023-02-20","11:50:00",13,"9.8","8.68","263","108.3","11.7",,,"EUSEBIO",,,,"2023-02-20 11:50:00"
"913","92401000","R1","ARAKIL-ZIORDIA","2023-02-20","12:10:00",13,"10.7","8.62","309","104.4","11.01",,,"EUSEBIO",,,,"2023-02-20 12:10:00"
"910","92201000","R1","ULTZAMA-VILLAVA","2023-02-20","12:55:00",10,"8.1","8.49","257","106.8","12.06",,,"ESTELA",,,,"2023-02-20 12:55:00"
"911","92204000","R1","ULTZAMA-CIAURRIZ","2023-02-20","14:16:06",8,"7.7","8.34","295","113.3","12.83",,,"ESTELA",,,,"2023-02-20 14:16:06"
"930","91106000","R4","EGA-SAN ADRIAN","2023-02-21","10:14:16",6,"10.8","8.26","924","99.1","10.56",,,"ESTELA",,,,"2023-02-21 10:14:16"
"929","91110000","R4","EGA-ANDOSILLA","2023-02-21","10:24:23",8,"9.4","8.18","935","98.1","10.6",,,"ESTELA",,,,"2023-02-21 10:24:23"
"928","91105000","R4","EGA-LERIN","2023-02-21","10:44:16",8,"9.7","8.36","586","101.9","11.16",,,"ESTELA",,,,"2023-02-21 10:44:16"
"927","91104000","R4","EGA-ALLO","2023-02-21","11:05:39",12,"10.1","8.41","550","105.7","11.37",,,"ESTELA",,,,"2023-02-21 11:05:39"
"926","91109000","R4","EGA-VILLATUERTA","2023-02-21","11:55:00",12,"10.3","8.32","542","103.9","11.09",,,"ESTELA",,,,"2023-02-21 11:55:00"
"925","91204000","R4","IRANZU-VILLATUERTA","2023-02-21","12:10:00",12,"9.8","8.36","856","116.7","12.48",,,"ESTELA",,,,"2023-02-21 12:10:00"
"924","91103000","R4","EGA-ESTELLA","2023-02-21","12:30:00",14,"10.7","8.36","459","103.3","10.9",,,"ESTELA",,,,"2023-02-21 12:30:00"
"922","91201000","R4","UREDERRA-ALLIN","2023-02-21","12:52:00",13,"10.6","8.41","386","106.3","11.23",,,"ESTELA",,,,"2023-02-21 12:52:00"
"923","91102000","R4","EGA-ZUBIELQUI","2023-02-21","13:15:00",15,"11.3","8.37","579","104.9","11.03",,,"ESTELA",,,,"2023-02-21 13:15:00"
"938","93306000","R3","ERRO-LONGUIDA","2023-02-23","10:05:00",2,"8.4","8.09","340","107.6","11.76",,,"ESTELA",,,,"2023-02-23 10:05:00"
"935","93302000","R3","IRATI-LUMBIER","2023-02-23","10:25:00",1,"7.9","8.06","313","98.4","11.04",,,"ADRIAN",,,,"2023-02-23 10:25:00"
"939","93301000","R3","IRATI-AOIZ","2023-02-23","10:30:00",2,"6.7","8.26","257","106.5","12.23",,,"ESTELA",,,,"2023-02-23 10:30:00"
"931","93311000","R3","SALAZAR-LUMBIER","2023-02-23","10:35:00",1,"7.5","8.31","296","102.3","11.59",,,"ADRIAN",,,,"2023-02-23 10:35:00"
"941","93313000","R3","URROBI-URIZ","2023-02-23","11:20:00",4,"6.7","8.31","204.3","107.1","12.17",,,"ESTELA",,,,"2023-02-23 11:20:00"
"932","93310000","R3","SALAZAR-GALLUES","2023-02-23","11:20:00",1,"7.3","8.36","276","100.1","11.13",,,"ADRIAN",,,,"2023-02-23 11:20:00"
"943","93315000","R3","IRATI-OROZ BETELU","2023-02-23","12:20:00",2,"6.2","8.85","248","105.9","12.05",,,"ESTELA",,,,"2023-02-23 12:20:00"
"934","93202000","R3","ESCA-ISABA","2023-02-23","12:45:00",2,"5.8","8.49","262","102.4","11.55",,,"ADRIAN",,,,"2023-02-23 12:45:00"
"942","93307000","R3","URROBI-ESPINAL","2023-02-23","13:00:00",1,"6.2","8.15","239","103.4","11.83","0.36","2.43","ESTELA",,,,"2023-02-23 13:00:00"
"933","93201000","R3","ESCA-SIGUES","2023-02-23","13:25:00",4,"7.8","8.49","312","103.2","11.47",,,"ADRIAN",,,,"2023-02-23 13:25:00"
"961","13202000","R6","LEITZARAN-URTO-*TRI","2023-03-09","09:02:56",13,"10.4","7.99","279","101.7","10.47",,,"ESTELA",,,,"2023-03-09 09:02:56"
"952","13201000","R6","LEITZARAN-LEITZA","2023-03-09","09:15:00",13,"9.8","8.25","139.1","98.4","10.45",,,"ESTELA",,,,"2023-03-09 09:15:00"
"946","12102000","R6","URUMEA-EN CABECERA-*TRI","2023-03-09","09:45:00",15,"16.4","8.23","82.4","99.3","10.76",,,"ESTELA",,,,"2023-03-09 09:45:00"
"960","11103000","R6","BIDASOA-SUMBILLA","2023-03-09","09:50:00",16,"11.3","7.96","200.1","96.8","10.34",,,"ADRIAN",,,,"2023-03-09 09:50:00"
"959","11902000","R6","EZKURRA-SANTESTEBAN","2023-03-09","10:10:00",17,"10.7","8.35","169.9","101.7","10.99",,,"ADRIAN",,,,"2023-03-09 10:10:00"
"947","12101000","R6","URUMEA-GOIZUETA","2023-03-09","10:20:00",17,"10.7","8.17","66.4","104.7","11.39","0.49","1.4","ESTELA",,,,"2023-03-09 10:20:00"
"945","12103000","R6","URUMEA-ARANO-*TRI","2023-03-09","11:15:00",17,"11.6","7.82","81.7","102.4","10.99",,,"ESTELA",,,,"2023-03-09 11:15:00"
"954","11908000","R6","MARIN-ORONOZ MUGAIRE-*TRI","2023-03-09","11:20:00",19,"13","8.35","197.6","98.4","10.05",,,"ADRIAN",,,,"2023-03-09 11:20:00"
"958","11102000","R6","BIDASOA-ORONOZ MUGAIRE","2023-03-09","11:30:00",19,"12","8.55","177.5","102.4","10.7",,,"ADRIAN",,,,"2023-03-09 11:30:00"
"955","11906000","R6","ARTESIAGA-IRURITA-*TRI","2023-03-09","11:45:00",21,"12.2","8.54","184.8","102.9","10.66",,,"ADRIAN",,,,"2023-03-09 11:45:00"
"957","11101000","R6","BIDASOA-ARIZKUN-*TRI","2023-03-09","12:00:00",21,"11.6","8.58","134","112.6","11.76",,,"ADRIAN",,,,"2023-03-09 12:00:00"
"951","11104000","R6","BIDASOA-ENDARLAZA","2023-03-09","12:00:00",22,"12.8","8.22","173.5","103.3","10.96",,,"ESTELA",,,,"2023-03-09 12:00:00"
"950","11105000","R6","BIDASOA-BERA","2023-03-09","12:20:00",22,"12.1","8.16","199","98.9","10.55",,,"ESTELA",,,,"2023-03-09 12:20:00"
"949","11904000","R6","ONIN-LESAKA 1 (Ag Arriba)-*TRI","2023-03-09","12:39:00",22,"13","8.64","126","114.7","11.91",,,"ESTELA",,,,"2023-03-09 12:39:00"
"953","14101000","R6","UGARANA-URDAX-*TRI","2023-03-09","12:40:00",20,"14","8.41","157.3","103.1","10.36",,,"ADRIAN",,,,"2023-03-09 12:40:00"
"948","11903000","R6","ONIN-LESAKA 3 (Desembocadura)","2023-03-09","12:50:00",22,"13.2","8.56","188.5","104.4","10.84",,,"ESTELA",,,,"2023-03-09 12:50:00"
"944","11907000","R6","TXIMISTA-ETXALAR-*TRI","2023-03-09","13:20:00",23,"12.9","9.1","102.9","108.8","11.29",,,"ESTELA",,"El pH es alto pero está comprobado en el momento",,"2023-03-09 13:20:00"
"956","11901000","R6","REGATA ZEBERIA-ORONOZ MUGAIRE-*TRI","2023-03-09","13:35:00",20,"13.6","8.53","277","104.3","10.52",,,"ADRIAN",,,,"2023-03-09 13:35:00"
"980","94105000","R5","EBRO-CASTEJON","2023-03-13","09:37:35",11,"14.8","7.84","613","91.2","8.97","2.5","166","ESTELA",,,,"2023-03-13 09:37:35"
"978","94110000","R5","EBRO-MILAGRO","2023-03-13","09:50:00",17,"15.7","7.95","640","104.3","10.03",,,"ADRIAN",,,,"2023-03-13 09:50:00"
"979","98102000","R5","ALHAMA-ALFARO","2023-03-13","09:58:01",17,"13.8","8.25","675","97.4","9.89",,,"ESTELA",,,,"2023-03-13 09:58:01"
"977","94103000","R5","EBRO-AZAGRA-*TRI","2023-03-13","10:35:58",17,"14.3","7.8","633","99","9.77",,,"ADRIAN",,,,"2023-03-13 10:35:58"
"976","98101000","R5","ALHAMA-FITERO","2023-03-13","10:45:10",20,"15.9","8.28","1330","113.6","10.81",,,"ESTELA",,,,"2023-03-13 10:45:10"
"975","94109000","R5","EBRO-SAN ADRIAN","2023-03-13","10:58:38",19,"14.6","8.47","560","104.4","10.22",,,"ADRIAN",,,,"2023-03-13 10:58:38"
"974","99101000","R5","QUEILES-TUDELA","2023-03-13","11:13:37",20,"15.2","8.52","652","97.9","9.52",,,"ESTELA",,,,"2023-03-13 11:13:37"
"973","94120000","R5","EBRO-SARTAGUDA-*TRI","2023-03-13","11:31:56",21,"15.3","8.37","590","103","9.74",,,"ADRIAN",,,,"2023-03-13 11:31:56"
"972","94102000","R5","EBRO-ALCANADRE","2023-03-13","12:02:33",23,"14.9","8.33","511","100.2","9.78",,,"ADRIAN",,,,"2023-03-13 12:02:33"
"971","94102-CL","R5","EBRO-CORTES-*TRI","2023-03-13","12:04:08",21,"14.5","8.59","574","107.6","10.57",,,"ESTELA",,,,"2023-03-13 12:04:08"
"969","94106-CI","R5","EBRO-BUNUEL-*TRI","2023-03-13","12:20:00",21,"14.8","8.32","728","103.6","10.18",,,"ESTELA",,,,"2023-03-13 12:20:00"
"970","95101000","R5","MAYOR-MENDAVIA","2023-03-13","12:20:05",24,"16.5","8.52","1054","126.4","11.97",,,"ADRIAN",,,,"2023-03-13 12:20:05"
"962","94107000","R5","EBRO-BUNUEL","2023-03-13","12:40:00",21,"14.7","8.4","705","107.4","10.59",,,"ESTELA",,,,"2023-03-13 12:40:00"
"968","94108000","R5","EBRO-VIANA","2023-03-13","12:44:50",23,"14.5","8.29","400","109.5","10.52",,,"ADRIAN",,,,"2023-03-13 12:44:50"
"963","94106-CT","R5","EBRO-CABANILLAS-*TRI","2023-03-13","13:05:00",22,"14.9","8.32","709","97.3","9.53",,,"ESTELA",,,,"2023-03-13 13:05:00"
"967","94101000","R5","EBRO-LOGRONO-*TRI","2023-03-13","13:11:02",23,"14.3","8.18","418","111.6","10.86",,,"ADRIAN",,,,"2023-03-13 13:11:02"
"964","94106000","R5","EBRO-TUDELA","2023-03-13","13:30:00",22,"15.4","8.2","707","96.2","9.33",,,"ESTELA",,,,"2023-03-13 13:30:00"
"966","95103000","R5","LINARES-TORRES DEL RIO-*TRI","2023-03-13","13:45:00",24,"15.1","7.97","2320","104.8","9.98",,,"ADRIAN",,,,"2023-03-13 13:45:00"
"965","95102000","R5","ODRON-MUES-*TRI","2023-03-13","14:10:00",24,"15.1","8.2","1110","125.7","11.91",,,"ADRIAN",,,,"2023-03-13 14:10:00"
"989","93406000","R7","CIDACOS-BARASOAIN","2023-03-14","08:55:00",10,"10.2","8.24","628","108.4","11.52",,,"ESTELA",,,,"2023-03-14 08:55:00"
"994","93401000","R7","CIDACOS-PUEYO","2023-03-14","09:10:00",10,"10.6","8.27","625","101.2","10.69",,,"ESTELA",,,,"2023-03-14 09:10:00"
"993","93405000","R7","CIDACOS-TAFALLA","2023-03-14","09:20:00",10,"11.3","8.34","600","107.6","11.27",,,"ESTELA",,,,"2023-03-14 09:20:00"
"992","93403000","R7","CIDACOS-OLITE","2023-03-14","09:40:00",12,"12.4","8.17","743","103.2","10.58","0.21","0.4","ESTELA",,,,"2023-03-14 09:40:00"
"991","93404000","R7","CIDACOS-BEIRE","2023-03-14","10:20:00",12,"14.5","8.05","985","98.2","10.02",,,"ESTELA",,,,"2023-03-14 10:20:00"
"983","93106000","R7","ARAGON-MILAGRO","2023-03-14","11:00:00",14,"13","8.08","589","99.4","10.08",,,"ESTELA",,,,"2023-03-14 11:00:00"
"982","93105-CA","R7","ACEQUIA VALTIERRA-*TRI","2023-03-14","11:15:00",14,"13.2","8.29","604","102","10.45",,,"ESTELA",,,,"2023-03-14 11:15:00"
"984","93105000","R7","ARAGON-CAPARROSO","2023-03-14","11:30:00",15,"12.9","8.32","407","106.5","10.88",,,"ESTELA",,,,"2023-03-14 11:30:00"
"990","93402000","R7","CIDACOS-TRAIBUENAS","2023-03-14","11:40:00",16,"13.1","8.28","1221","102.7","10.49",,,"ESTELA",,,,"2023-03-14 11:40:00"
"986","93104000","R7","ARAGON-CARCASTILLO","2023-03-14","12:00:00",15,"12.6","8.44","366","105.7","10.86",,,"ESTELA",,,,"2023-03-14 12:00:00"
"985","93103000","R7","ARAGON-CASEDA","2023-03-14","12:30:00",16,"12.7","8.44","394","108.2","11.02",,,"ESTELA",,,,"2023-03-14 12:30:00"
"987","93102000","R7","ARAGON-SANGUESA-*TRI","2023-03-14","12:50:00",15,"12.7","8.46","327","108.2","11.05",,,"ESTELA",,,,"2023-03-14 12:50:00"
"981","93901000","R7","ONSELLA-SANGUESA-*TRI","2023-03-14","13:10:00",15,"11.6","8.32","755","106.5","11",,,"ESTELA",,,,"2023-03-14 13:10:00"
"988","93101000","R7","ARAGON-YESA","2023-03-14","13:40:00",14,"9.2","8.5","350","118","12.87",,,"ESTELA",,,,"2023-03-14 13:40:00"
"1010","92112000","R2","ARGA-PAMPLONA LANDABEN","2023-03-16","08:30:00",4,"8","8.39","317","94.1","10.58",,,"ESTELA",,,,"2023-03-16 08:30:00"
"1008","92301000","R2","ELORZ-PAMPLONA ECHAVACOIZ","2023-03-16","08:30:00",9,"10.9","7.92","1563","102","10.8",,,"ADRIAN",,,,"2023-03-16 08:30:00"
"1011","92103000","R2","ARGA-HUARTE PAMPLONA","2023-03-16","09:19:12",8,"8.1","8.35","362","97.7","11",,,"ESTELA",,,,"2023-03-16 09:19:12"
"1007","92108000","R2","ARGA-FUNES","2023-03-16","09:30:00",13,"11.2","7.79","700","99","10.52",,,"ADRIAN",,,,"2023-03-16 09:30:00"
"1009","92102000","R2","ARGA-ZUBIRI-*TRI","2023-03-16","09:56:18",8,"7.6","8.4","218","99.6","11.01",,,"ESTELA",,,,"2023-03-16 09:56:18"
"1006","92101000","R2","ARGA-EUGUI-*TRI","2023-03-16","10:21:00",8,"8.5","8.43","132.4","100.8","10.95",,,"ESTELA",,,,"2023-03-16 10:21:00"
"1005","92110000","R2","ARGA-FALCES","2023-03-16","10:32:00",14,"15.1","7.92","587","103.5","10.04",,,"ADRIAN",,,,"2023-03-16 10:32:00"
"1001","92109000","R2","ARGA-URTASUN","2023-03-16","10:50:00",8,"7.5","8.28","158.4","98.9","11.05",,,"ESTELA",,,,"2023-03-16 10:50:00"
"1004","92107000","R2","ARGA-VERGALIJO","2023-03-16","10:51:48",15,"13.5","7.88","558","104.9","10.51",,,"ADRIAN",,,,"2023-03-16 10:51:48"
"1003","92107001","R2","ARGA-MIRANDA DE ARGA-*TRI","2023-03-16","11:04:37",14,"13","7.88","553","104","10.55",,,"ADRIAN",,,,"2023-03-16 11:04:37"
"1002","92903000","R2","SALADO-MENDIGORRIA","2023-03-16","11:31:37",16,"12.6","7.82","2462","106.4","10.87",,,"ADRIAN",,,,"2023-03-16 11:31:37"
"1000","92501000","R2","ROBO-PUENTE LA REINA","2023-03-16","12:00:00",17,"11.7","8.15","878","119.5","12.47",,,"ADRIAN",,,,"2023-03-16 12:00:00"
"999","92104000","R2","ARGA-PAMPLONA 4VIENTOS","2023-03-16","12:09:31",16,"12.4","8.4","306","103.7","10.55",,,"ESTELA",,,,"2023-03-16 12:09:31"
"998","92106000","R2","ARGA-PUENTE LA REINA-*TRI","2023-03-16","12:10:30",17,"13.1","7.89","467","105.3","10.61",,,"ADRIAN",,,,"2023-03-16 12:10:30"
"1017","92105000","R2","ARGA-ORORBIA","2023-03-16","12:40:00",16,"13.1","8.39","451","115.7","11.62",,,"ESTELA",,,,"2023-03-16 12:40:00"
"997","92902000","R2","SALADO-ESTENOZ-*TRI","2023-03-16","12:50:00",21,"16.5","8.35","99999","153.1","14.04",,,"ADRIAN",,"Altos niveles de Conductividad",,"2023-03-16 12:50:00"
"1016","92113000","R2","ARGA-ECHAURI","2023-03-16","13:00:00",17,"12.7","8.26","625","96","9.75",,,"ESTELA",,,,"2023-03-16 13:00:00"
"996","92901000","R2","UBAGUA-MUEZ-*TRI","2023-03-16","13:10:00",22,"13.5","8.11","960","132.6","13.08",,,"ADRIAN",,,,"2023-03-16 13:10:00"
"1015","92111000","R2","ARGA-BELASCOAIN","2023-03-16","13:25:00",19,"13.3","8.28","539","93.4","9.37",,,"ESTELA",,,,"2023-03-16 13:25:00"
"995","92904000","R2","UBAGUA-RIEZU-*TRI","2023-03-16","13:30:00",22,"14.7","8.03","456","123.6","11.8",,,"ADRIAN",,,,"2023-03-16 13:30:00"
"1034","92403000","R1","LARRAUN-IRURTZUN","2023-03-20","09:00:00",5,"11.4","8","337","96.2","10.05",,,"ADRIAN",,,,"2023-03-20 09:00:00"
"1021","92405000","R1","ARAKIL-ASIAIN","2023-03-20","09:15:00",5,"10.3","7.88","398","106.9","10.89",,,"ESTELA",,,,"2023-03-20 09:15:00"
"1020","92406000","R1","UDARBE(R.ARTETA)-ANOZ-*TRI","2023-03-20","09:34:00",5,"8.5","8.12","924","108.6","12.05",,,"ESTELA",,,,"2023-03-20 09:34:00"
"1035","92414000","R1","LARRAUN-URRITZA","2023-03-20","09:35:00",4,"9.4","8.04","300","97.5","10.62",,,"ADRIAN",,,,"2023-03-20 09:35:00"
"1022","92411000","R1","ARAKIL-ERROTZ","2023-03-20","09:55:00",5,"9.7","8.27","345","105.2","11.41",,,"ESTELA",,,,"2023-03-20 09:55:00"
"1036","92412000","R1","LARRAUN-LEKUMBERRI-*TRI","2023-03-20","09:55:00",7,"9.2","7.9","292","102","11.1",,,"ADRIAN",,,,"2023-03-20 09:55:00"
"1032","13101000","R1","ARAXES-ATALLO-*TRI","2023-03-20","10:25:00",10,"11","8.26","347","98.8","10.79",,,"ADRIAN",,,,"2023-03-20 10:25:00"
"1024","92402000","R1","ARAKIL-VILLANUEVA-*TRI","2023-03-20","10:40:00",5,"9.9","8.2","300","101.8","10.94",,,"ESTELA",,,,"2023-03-20 10:40:00"
"1025","92410000","R1","ARAKIL-UHARTE ARAKIL","2023-03-20","11:00:00",5,"9.5","8.28","308","107.5","11.64",,,"ESTELA",,,,"2023-03-20 11:00:00"
"1026","92407000","R1","ARAKIL-ETXARRI ARANAZ","2023-03-20","11:20:00",5,"9.5","8.18","297","105.5","11.38",,,"ESTELA",,,,"2023-03-20 11:20:00"
"1037","92417000","R1","BASABURUA-UDABE-*TRI","2023-03-20","11:25:00",11,"10.2","8.29","284","104.7","11.21",,,"ADRIAN",,,,"2023-03-20 11:25:00"
"1027","92409000","R1","ARAKIL-ALSASUA","2023-03-20","11:51:00",6,"9.8","8.21","303","108.9","11.61",,,"ESTELA",,,,"2023-03-20 11:51:00"
"1033","92203000","R1","ULTZAMA-LIZASO","2023-03-20","12:00:00",15,"9.9","8.14","181.6","104","11.2",,,"ADRIAN",,,,"2023-03-20 12:00:00"
